,GEOID,geometry,index,rmse,r^2,max_residual
0,06075025200,"POLYGON ((-122.419121 37.746775, -122.41827599999999 37.74808, -122.418256 37.748111, -122.418221 37.748166, -122.418206 37.748203, -122.41587 37.748267, -122.414924 37.748284999999996, -122.414826 37.748273, -122.41381799999999 37.748292, -122.413673 37.748297, -122.413536 37.748304, -122.412589 37.748322, -122.41162800000001 37.748340999999996, -122.41148799999999 37.748343999999996, -122.411346 37.748343999999996, -122.410654 37.748363, -122.410551 37.748367, -122.410546 37.748317, -122.41054199999999 37.748278, -122.410538 37.748232, -122.410461 37.74743, -122.410495 37.747354, -122.410589 37.747136999999995, -122.410619 37.746941, -122.41056499999999 37.746323, -122.410498 37.745571, -122.410474 37.745298, -122.41044099999999 37.744918, -122.410389 37.744324999999996, -122.410338 37.743749, -122.410223 37.743621999999995, -122.40999099999999 37.743442, -122.409857 37.743338, -122.409745 37.74329, -122.409467 37.743255, -122.409361 37.743263, -122.409378 37.742923, -122.409485 37.743030999999995, -122.409625 37.743071, -122.40996799999999 37.74305, -122.409989 37.742771999999995, -122.410234 37.742546, -122.410431 37.742458, -122.410612 37.742426, -122.410662 37.742424, -122.410669 37.742191999999996, -122.410698 37.741822, -122.410718 37.74156, -122.410732 37.741381, -122.410365 37.741361999999995, -122.410507 37.739779, -122.410733 37.739792, -122.41137 37.739830999999995, -122.411748 37.739854, -122.411992 37.739709999999995, -122.412657 37.739311, -122.413186 37.738997999999995, -122.41331199999999 37.738982, -122.413938 37.738929999999996, -122.414559 37.738881, -122.414666 37.738883, -122.415184 37.738932999999996, -122.415899 37.739002, -122.41651999999999 37.739062, -122.41713899999999 37.739121, -122.417779 37.739184, -122.41846100000001 37.739249, -122.418584 37.739297, -122.41776999999999 37.740564, -122.418347 37.740789, -122.418834 37.740983, -122.418752 37.74118, -122.418494 37.741592, -122.418418 37.741662999999996, -122.417988 37.742351, -122.417929 37.742487, -122.417636 37.742934999999996, -122.417569 37.743010999999996, -122.417422 37.743223, -122.41610299999999 37.745253, -122.416559 37.745439, -122.41723999999999 37.745718, -122.41764 37.745882, -122.417819 37.745965, -122.418285 37.746694, -122.419121 37.746775))",06075025200,0.3347124229975822,0.3135324518280523,4.616050727552757
1,06075025300,"POLYGON ((-122.424258 37.739934999999996, -122.424137 37.740336, -122.424048 37.740629999999996, -122.424036 37.740657999999996, -122.423942 37.740888999999996, -122.423621 37.741671, -122.42340300000001 37.742202999999996, -122.423361 37.74229, -122.423302 37.742426, -122.423043 37.743114, -122.422709 37.743939999999995, -122.422439 37.744758999999995, -122.422369 37.744959, -122.422293 37.745183999999995, -122.422276 37.745348, -122.422283 37.745481999999996, -122.422289 37.745574999999995, -122.422174 37.745613999999996, -122.422162 37.745481999999996, -122.422153 37.745307, -122.422162 37.745236999999996, -122.42218 37.745159, -122.422043 37.745387, -122.421704 37.746412, -122.42140599999999 37.747231, -122.421328 37.747442, -122.421385 37.748031999999995, -122.421393 37.748124, -122.420282 37.748160999999996, -122.420139 37.748157, -122.419171 37.748179, -122.418357 37.748197999999995, -122.418206 37.748203, -122.418221 37.748166, -122.418256 37.748111, -122.41827599999999 37.74808, -122.419121 37.746775, -122.418285 37.746694, -122.417819 37.745965, -122.41764 37.745882, -122.41723999999999 37.745718, -122.416559 37.745439, -122.41610299999999 37.745253, -122.417422 37.743223, -122.417569 37.743010999999996, -122.417636 37.742934999999996, -122.417929 37.742487, -122.417988 37.742351, -122.418418 37.741662999999996, -122.418494 37.741592, -122.418752 37.74118, -122.418834 37.740983, -122.418347 37.740789, -122.41776999999999 37.740564, -122.418584 37.739297, -122.41916499999999 37.739533, -122.419566 37.739695999999995, -122.41972 37.739759, -122.420275 37.739985, -122.420856 37.740221, -122.421742 37.740581, -122.422841 37.741026999999995, -122.42309 37.740642, -122.42358 37.739883999999996, -122.424046 37.739871, -122.42410000000001 37.739869999999996, -122.424147 37.739869, -122.42427 37.739866, -122.424258 37.739934999999996))",06075025300,0.4932935302016183,0.3666725056534533,5.652143786890263
2,06075025402,"POLYGON ((-122.41676 37.735605, -122.416718 37.736073999999995, -122.416696 37.736317, -122.416631 37.737037, -122.416613 37.737248, -122.415955 37.737210999999995, -122.415841 37.738451999999995, -122.415801 37.738949, -122.415899 37.739002, -122.415184 37.738932999999996, -122.414666 37.738883, -122.414559 37.738881, -122.413938 37.738929999999996, -122.41331199999999 37.738982, -122.413186 37.738997999999995, -122.412657 37.739311, -122.411992 37.739709999999995, -122.411748 37.739854, -122.41137 37.739830999999995, -122.410733 37.739792, -122.410507 37.739779, -122.41011499999999 37.739754999999995, -122.410191 37.738923, -122.410264 37.738123, -122.410377 37.736894, -122.409762 37.736858, -122.409138 37.736823, -122.408993 37.736827999999996, -122.40885399999999 37.736830999999995, -122.40879 37.736996999999995, -122.408684 37.737234, -122.408465 37.737489, -122.40821700000001 37.737612, -122.408216 37.737581999999996, -122.408211 37.7374, -122.408233 37.737181, -122.408245 37.737063, -122.408337 37.736678, -122.40835799999999 37.736616999999995, -122.408468 37.736342, -122.408488 37.736291, -122.408582 37.736125, -122.408655 37.735997999999995, -122.408779 37.735817, -122.40881 37.735773, -122.408836 37.735745, -122.408923 37.73565, -122.408993 37.735575, -122.409086 37.735448999999996, -122.409141 37.735375, -122.409505 37.735043999999995, -122.409798 37.734828, -122.409865 37.734904, -122.410344 37.734621, -122.410513 37.734592, -122.410754 37.734699, -122.41083 37.734733, -122.41089099999999 37.734794, -122.410935 37.734839, -122.411166 37.735071999999995, -122.41182599999999 37.734638, -122.412447 37.73467, -122.412826 37.734688, -122.41306900000001 37.734701, -122.413689 37.734732, -122.41431299999999 37.734763, -122.414935 37.734794, -122.415554 37.734825, -122.416172 37.734856, -122.41682399999999 37.734888, -122.41676 37.735605))",06075025402,0.21221942888819592,0.3441576146626501,3.5940709829996282
3,06075025500,"POLYGON ((-122.447878 37.723005, -122.44760099999999 37.723835, -122.447586 37.72388, -122.44753399999999 37.724005, -122.447237 37.724568999999995, -122.447201 37.724638, -122.446864 37.725213, -122.446391 37.725863, -122.446308 37.725978, -122.445953 37.726365, -122.445724 37.726613, -122.445603 37.726734, -122.445041 37.727295, -122.444688 37.727582999999996, -122.444423 37.727799, -122.443791 37.728232999999996, -122.443664 37.728304, -122.443075 37.728634, -122.442722 37.728794, -122.44197 37.729136, -122.441801 37.729202, -122.44122999999999 37.729423, -122.441135 37.729459999999996, -122.440781 37.729605, -122.440256 37.72982, -122.440102 37.729878, -122.439483 37.730112, -122.439558 37.730191, -122.438541 37.730568, -122.438191 37.730698, -122.437012 37.731117999999995, -122.43645000000001 37.731333, -122.436133 37.73147, -122.435892 37.731577, -122.435425 37.731786, -122.43506099999999 37.731964999999995, -122.43491399999999 37.732037999999996, -122.434299 37.732310999999996, -122.433443 37.732704, -122.432873 37.732966999999995, -122.432535 37.733123, -122.432422 37.733176, -122.430928 37.733867, -122.430396 37.734121, -122.429799 37.734406, -122.42960000000001 37.734518, -122.429391 37.734636, -122.428843 37.734932, -122.428607 37.73506, -122.428573 37.735082, -122.428437 37.734950999999995, -122.428354 37.734915, -122.427839 37.734694, -122.427401 37.734507, -122.426237 37.734004999999996, -122.426158 37.733971, -122.426369 37.733747, -122.426391 37.733675, -122.42733799999999 37.732721, -122.428038 37.732016, -122.428203 37.731851, -122.428686 37.731365, -122.428873 37.731175, -122.429304 37.730742, -122.429378 37.73072, -122.43008 37.730004, -122.430043 37.729969, -122.430165 37.729851, -122.430199 37.729872, -122.43082799999999 37.729239, -122.43125 37.728818, -122.431294 37.72873, -122.43180100000001 37.728249, -122.432363 37.727717, -122.432447 37.727637, -122.432808 37.727315, -122.432912 37.727177999999995, -122.433357 37.726588, -122.433624 37.726236, -122.433982 37.725761999999996, -122.434426 37.725175, -122.434798 37.724683, -122.43487 37.724588, -122.43531300000001 37.724005, -122.435385 37.723909, -122.436449 37.723788, -122.43702 37.723723, -122.437341 37.723717, -122.437373 37.723715999999996, -122.437511 37.723714, -122.437603 37.723738, -122.438411 37.723676, -122.43878699999999 37.723637, -122.439837 37.723504999999996, -122.43995699999999 37.723499, -122.440958 37.723383, -122.441032 37.723371, -122.441152 37.72336, -122.442438 37.723211, -122.442597 37.723186999999996, -122.443255 37.723115, -122.444159 37.723001, -122.444486 37.722974, -122.44472999999999 37.722986999999996, -122.447174 37.723017999999996, -122.447453 37.723006, -122.447639 37.723006, -122.447878 37.723005))",06075025500,0.4666675497516593,0.32092979146643213,6.211209688745202
4,06075025600,"POLYGON ((-122.43125 37.728818, -122.43082799999999 37.729239, -122.430199 37.729872, -122.430165 37.729851, -122.430043 37.729969, -122.43008 37.730004, -122.429378 37.73072, -122.429304 37.730742, -122.428873 37.731175, -122.428686 37.731365, -122.428203 37.731851, -122.428038 37.732016, -122.42734300000001 37.731868, -122.427119 37.731826, -122.426391 37.73169, -122.426104 37.731651, -122.425563 37.731578999999996, -122.424986 37.73156, -122.424645 37.731549, -122.424554 37.731549, -122.423982 37.731552, -122.42392 37.731553, -122.42282 37.731640999999996, -122.421703 37.731806999999996, -122.421715 37.731608, -122.421726 37.731438, -122.421731 37.731352, -122.421753 37.731085, -122.420945 37.731308999999996, -122.420185 37.731463, -122.41985 37.731476, -122.41951399999999 37.73149, -122.419356 37.731439, -122.41927 37.73133, -122.419282 37.731164, -122.41937300000001 37.73043, -122.419536 37.729129, -122.419486 37.729046, -122.4192 37.729082, -122.418744 37.729088999999995, -122.418381 37.729039, -122.417206 37.72884, -122.416864 37.728795999999996, -122.416637 37.728809, -122.416174 37.728919, -122.415193 37.729223, -122.414956 37.728657999999996, -122.41445999999999 37.727457, -122.415452 37.727198, -122.416426 37.726943, -122.41741 37.726684999999996, -122.418404 37.726425, -122.417906 37.725221, -122.418888 37.724965999999995, -122.41987499999999 37.72471, -122.420861 37.724454, -122.421847 37.724199, -122.422343 37.725395, -122.42284 37.726597, -122.423122 37.727277, -122.423336 37.727792, -122.423509 37.728207, -122.42374 37.72876, -122.424199 37.728736, -122.42488 37.728699, -122.42529 37.728677, -122.425964 37.728640999999996, -122.426423 37.728617, -122.42758 37.728566, -122.428209 37.728545, -122.42866699999999 37.728533999999996, -122.43039 37.728547, -122.431294 37.72873, -122.43125 37.728818))",06075025600,0.38301978080749777,0.32906091413776817,4.9724352060700605
5,06075025800,"POLYGON ((-122.405572 37.724461, -122.404586 37.724717999999996, -122.403601 37.724976, -122.4026 37.725235, -122.402108 37.724036, -122.402061 37.72392, -122.401442 37.723773, -122.40136 37.723752999999995, -122.401047 37.723678, -122.400888 37.723641, -122.400785 37.723616, -122.40038200000001 37.722632999999995, -122.399925 37.721517, -122.399738 37.721005999999996, -122.399681 37.720864, -122.399464 37.72033, -122.399377 37.720005, -122.39938699999999 37.719882, -122.399125 37.71973, -122.399089 37.719572, -122.398967 37.71903, -122.398898 37.718807999999996, -122.398863 37.718683, -122.398882 37.718648, -122.3991 37.718249, -122.399188 37.718088, -122.399219 37.717906, -122.399283 37.717529, -122.399402 37.717065999999996, -122.39941999999999 37.716995, -122.399462 37.716834, -122.399568 37.716446999999995, -122.399615 37.716277999999996, -122.39974 37.716183, -122.399828 37.71665, -122.400012 37.717411, -122.400042 37.717538, -122.400131 37.717906, -122.40027599999999 37.718506, -122.400435 37.719162, -122.401122 37.718979999999995, -122.402103 37.718720999999995, -122.402119 37.718803, -122.402585 37.719923, -122.40298899999999 37.720912, -122.40303399999999 37.721022999999995, -122.403078 37.721129999999995, -122.404059 37.720864, -122.404072 37.720895, -122.40456499999999 37.722063999999996, -122.404907 37.722896999999996, -122.404961 37.723015, -122.405087 37.72329, -122.40531 37.723827, -122.405572 37.724461))",06075025800,0.47334403458647967,0.2994803861858559,6.727516216221187
6,06075025900,"POLYGON ((-122.41987499999999 37.72471, -122.418888 37.724965999999995, -122.417906 37.725221, -122.418404 37.726425, -122.41741 37.726684999999996, -122.416426 37.726943, -122.415452 37.727198, -122.41445999999999 37.727457, -122.413475 37.727714999999996, -122.41248999999999 37.727972, -122.411505 37.728229999999996, -122.410519 37.728488, -122.410022 37.727284, -122.409527 37.726084, -122.409027 37.724883999999996, -122.408529 37.723687999999996, -122.407541 37.723940999999996, -122.406553 37.724194, -122.405572 37.724461, -122.40531 37.723827, -122.405087 37.72329, -122.404961 37.723015, -122.404907 37.722896999999996, -122.40456499999999 37.722063999999996, -122.404072 37.720895, -122.404059 37.720864, -122.403078 37.721129999999995, -122.40303399999999 37.721022999999995, -122.40298899999999 37.720912, -122.402585 37.719923, -122.402119 37.718803, -122.402103 37.718720999999995, -122.403071 37.718464999999995, -122.403555 37.718337, -122.403854 37.71883, -122.404051 37.718928, -122.40453 37.719173999999995, -122.404792 37.719308999999996, -122.40531899999999 37.719578999999996, -122.405564 37.71966, -122.405797 37.719736999999995, -122.40610000000001 37.719837, -122.406431 37.719754, -122.406665 37.719215, -122.406956 37.719898, -122.406981 37.719957, -122.407036 37.720085, -122.408014 37.719823999999996, -122.409022 37.719587, -122.41000199999999 37.719332, -122.41099 37.719074, -122.411476 37.720251999999995, -122.411973 37.721458, -122.412468 37.722657999999996, -122.412969 37.723858, -122.413959 37.723599, -122.414936 37.723343, -122.41592299999999 37.723085, -122.415558 37.722226, -122.41663199999999 37.722156999999996, -122.416917 37.722825, -122.41778099999999 37.722597, -122.417914 37.722626999999996, -122.418392 37.723768, -122.419375 37.723498, -122.41987499999999 37.72471))",06075025900,0.3888611735906722,0.2846386335550359,4.793519377538844
7,06075026002,"POLYGON ((-122.432363 37.727717, -122.43180100000001 37.728249, -122.431294 37.72873, -122.43039 37.728547, -122.42866699999999 37.728533999999996, -122.428209 37.728545, -122.42758 37.728566, -122.426423 37.728617, -122.425964 37.728640999999996, -122.42529 37.728677, -122.42488 37.728699, -122.424199 37.728736, -122.42374 37.72876, -122.423509 37.728207, -122.423336 37.727792, -122.423122 37.727277, -122.42284 37.726597, -122.422343 37.725395, -122.421847 37.724199, -122.42283 37.723943999999996, -122.423807 37.723690999999995, -122.42477099999999 37.722172, -122.424848 37.722052999999995, -122.425239 37.72224, -122.42564999999999 37.722435, -122.426468 37.722826, -122.42725300000001 37.7232, -122.428074 37.723591, -122.426912 37.725151, -122.427684 37.725519999999996, -122.428482 37.725901, -122.42928 37.726282, -122.43008 37.726662999999995, -122.43017 37.726544, -122.430965 37.726926, -122.43176700000001 37.727311, -122.432447 37.727637, -122.432363 37.727717))",06075026002,0.2868835411627077,0.3203258050382265,4.395398230822674
8,06075026004,"POLYGON ((-122.44041 37.717327, -122.440141 37.717692, -122.439531 37.718484, -122.439497 37.718525, -122.43892199999999 37.719286, -122.438891 37.719324, -122.438855 37.719373999999995, -122.438389 37.719991, -122.438356 37.720034, -122.437502 37.721176, -122.43722199999999 37.721551, -122.43715 37.721575, -122.436385 37.721209, -122.435585 37.720827, -122.434785 37.720445, -122.433985 37.720062999999996, -122.433185 37.719681, -122.432385 37.719297999999995, -122.433555 37.717743999999996, -122.432754 37.71736, -122.431953 37.716975999999995, -122.43115399999999 37.716594, -122.432323 37.715038, -122.432777 37.714437, -122.433639 37.714752, -122.434492 37.715064999999996, -122.435346 37.715379, -122.436195 37.715693, -122.437046 37.716007999999995, -122.437901 37.716319999999996, -122.438758 37.716632, -122.43964 37.716958999999996, -122.440418 37.717245, -122.44041 37.717327))",06075026004,0.35665178179216395,0.283128467148356,5.984577192282231
9,06075020500,"POLYGON ((-122.439491 37.762226999999996, -122.438418 37.762291, -122.437342 37.762355, -122.436437 37.762409, -122.436314 37.762423, -122.43583699999999 37.762485, -122.435514 37.762597, -122.435193 37.762727, -122.435188 37.762671, -122.435141 37.762414, -122.435001 37.760889, -122.434854 37.759288999999995, -122.434698 37.757687, -122.43462199999999 37.756887, -122.434546 37.756093, -122.434671 37.756108999999995, -122.435642 37.756040999999996, -122.436744 37.755966, -122.437803 37.755893, -122.437769 37.755541, -122.438864 37.755434, -122.438839 37.755525, -122.438977 37.757022, -122.439003 37.75709, -122.439033 37.757415, -122.439074 37.757855, -122.439114 37.758463, -122.439167 37.759028, -122.439256 37.759808, -122.439337 37.760627, -122.439408 37.761365999999995, -122.43942 37.761491, -122.439427 37.761559999999996, -122.439438 37.761679, -122.439491 37.762226999999996))",06075020500,0.32555647233099,0.33116898703457204,4.565064324048876
